propensao,nome,cnpj,porte,bairro,idade_anos,unidades,capital_social,telefone,arquetipo,capacidade,fit_ticket
0.6825,CLINICA CONCEPT ODONTOLOGIA E MEDICINA,40.269.762/0001-02,EPP,NORTE (AGUAS CLARAS),5,1,105000.0,(61) 81760468,clinica_geral,0.7,0.35
0.6825,REALIZAR ODONTOLOGIA,15.299.713/0001-75,EPP,RIACHO FUNDO I,14,1,100000.0,(61) 30332409,clinica_geral,0.7,0.35
0.6825,INSTITUTO DE REABILITACAO ORAL DE BRASILIA,56.979.955/0001-97,EPP,ASA SUL,2,1,500000.0,(61) 98170664,clinica_institucional,0.65,0.6
0.6820,CARISMA CLINIC & SPA,14.906.336/0001-22,ME,SUL (AGUAS CLARAS),14,1,120000.0,(61) 99690737,clinica_geral,0.53,0.35
0.6810,CICLOMED,00.365.613/0001-22,EPP,ASA NORTE,31,1,90000.0,(61) 3289582,clinica_institucional,0.64,0.35
0.6805,IVVA ODONTO ESTETICA,09.541.039/0001-90,ME,TAGUATINGA,18,1,40000.0,(61) 30424848,especialista_alto_ticket,0.37,1.0
0.6805,INSTITUTO HARMONIZE,09.154.863/0001-98,ME,RIACHO FUNDO,18,1,20000.0,(61) 33995854,especialista_alto_ticket,0.37,1.0
0.6800,CIR HARMONIZACAO OROFACIAL,40.017.574/0001-97,EPP,SETOR DE HABITACOES INDIVIDUAIS SUL,5,1,10000.0,(61) 92778807,especialista_alto_ticket,0.65,1.0
0.6800,INSTITUTO ODONTOLOGICO SIMONE PAIVA,11.227.911/0001-72,ME,SETOR HABITACIONAL JARDIM BOTANICO,16,1,40000.0,(61) 34273533,clinica_institucional,0.4,0.6
0.6800,UNIQUE ODONTOLOGIA,07.482.837/0001-63,ME,ASA SUL,21,1,30000.0,(61) 30395443,clinica_geral,0.4,0.6
0.6800,AMARAL ODONTOLOGIA,10.660.391/0001-24,ME,ASA SUL,17,1,20000.0,(61) 33813989,clinica_geral,0.4,0.6
0.6800,ODONTO WELZEL,09.343.523/0001-05,ME,AGUAS CLARAS,18,1,20000.0,(61) 99787570,clinica_institucional,0.4,0.6
0.6795,ORAL CARE CONSULTORIO ODONTOLOGICO,09.530.706/0001-30,EPP,SAMAMBAIA NORTE (SAMAMBAIA),18,1,10000.0,(61) 33572300,clinica_geral,0.63,0.6
0.6795,ORTODONTICCENTER,09.120.266/0001-42,ME,CEILANDIA,18,1,120000.0,(61) 35610334,especialista_alto_ticket,0.48,1.0
0.6790,INSTITUTO GUIDOLIN,04.044.900/0001-91,ME,ASA NORTE,25,1,96000.0,(61) 33288707,clinica_institucional,0.51,0.6
0.6790,MAGNUS ODONTOLOGIA ESPECIALIZADA,26.424.960/0001-72,ME,ASA NORTE,36,1,95400.0,(61) 99284407,clinica_institucional,0.51,0.6
0.6790,COB - CENTRO ODONTOLOGICO BRASILIENSE S/S LTDA,01.035.146/0001-35,DEMAIS,ASA NORTE,41,1,0.0,(61) 39648523,clinica_institucional,0.51,0.6
0.6785,ASA BSB ODONTOLOGIA,36.656.021/0001-07,DEMAIS,ASA SUL,6,1,300000.0,(61) 92214730,clinica_geral,0.69,0.35
0.6785,PEREIRA REABILITACAO ORAL,32.097.801/0001-03,DEMAIS,ASA NORTE,7,1,95400.0,(61) 33478744,clinica_geral,0.69,0.35
0.6785,CISO CLINICA INTEGRADA DE SAUDE ODONTOLOGICA,25.025.483/0001-00,EPP,TAGUATINGA SUL,10,1,88000.0,(61) 92927640,clinica_geral,0.69,0.35
0.6785,M CAMPOS ODONTO,36.299.533/0001-63,EPP,ASA SUL,6,1,20000.0,(61) 30110811,clinica_geral,0.69,0.35
0.6780,DR. CRISTIANO ESTRELA H.,18.350.288/0001-90,DEMAIS,ASA NORTE,13,1,3000.0,(61) 81538156,marca_pessoal,0.52,0.35
0.6780,INTERFACE ODONTOLOGIA,06.013.523/0001-59,DEMAIS,ASA NORTE,22,1,0.0,(61) 33268064,clinica_geral,0.52,0.35
0.6780,FACETECH ODONTOLOGIA E BEM ESTAR,13.203.418/0001-48,ME,NORTE (AGUAS CLARAS),15,2,30000.0,(61) 35813294,multi_unidade,0.42,0.6
0.6770,CLEAN DENT CONSULTORIO ODONTOLOGICO LTDA,02.005.849/0001-83,DEMAIS,ASA NORTE,29,1,58370.0,(61) 33280193,clinica_geral,0.63,0.35
0.6770,ODONTOLOGIA NARCISO S/S LTDA,03.403.713/0001-94,EPP,ASA NORTE,27,1,30000.0,(61) 33271240,clinica_geral,0.63,0.35
0.6770,NEW INPLANTS BRASILIA,33.519.349/0001-93,EPP,ASA SUL,36,1,10000.0,(61) 32249647,clinica_geral,0.63,0.35
0.6770,ORALPED,01.297.750/0001-30,EPP,ASA NORTE,30,1,10000.0,(61) 33267900,clinica_geral,0.63,0.35
0.6770,PERIO CLIN,00.987.274/0001-16,EPP,ASA NORTE,30,1,6000.0,(061) 3286399,clinica_geral,0.63,0.35
0.6770,ALBUQUERQUE ODONTOLOGIA E ACUPUNTURA,17.247.190/0001-49,DEMAIS,ASA NORTE,13,1,30000.0,(61) 33264071,clinica_geral,0.58,0.35
0.6765,RISUS ATELIE OROFACIAL,33.294.691/0001-32,ME,SETOR HABITACIONAL VICENTE PIRES,7,1,99800.0,(61) 33973545,clinica_institucional,0.36,1.0
0.6765,DRA VANESSA BUIATI ODONTOLOGIA ESTETICA,31.462.605/0001-28,ME,ASA SUL,7,1,95400.0,(61) 34428442,marca_pessoal,0.36,1.0
0.6765,RAFAELLA MACEDO ODONTOLOGIA E HARMONIZACAO FACIAL,42.298.847/0001-44,ME,NORTE (AGUAS CLARAS),5,1,93000.0,(61) 85641020,especialista_alto_ticket,0.36,1.0
0.6765,HARMONIZZE,31.316.351/0001-30,ME,AGUAS CLARAS,8,1,86000.0,(61) 91522464,especialista_alto_ticket,0.36,1.0
0.6765,ERETUZA LIMA,40.443.094/0001-98,ME,ASA SUL,5,1,80000.0,(61) 99123232,especialista_alto_ticket,0.36,1.0
0.6765,PRO IMPLANTES,33.786.818/0001-30,ME,ASA NORTE,7,1,60000.0,(61) 33273238,especialista_alto_ticket,0.36,1.0
0.6765,CIOG CENTRO DE IMPLANTODONTIA E ODONTOLOGIA DO GAMA,05.549.037/0001-97,ME,GAMA,23,1,15000.0,(61) 34842697,especialista_alto_ticket,0.36,1.0
0.6765,ORTOLIFE,07.746.416/0001-00,ME,SOBRADINHO,20,1,15000.0,(61) 33511491,especialista_alto_ticket,0.36,1.0
0.6760,CLINICA ODONTOLOGICA ORAL VIP,22.208.218/0001-79,ME,SETOR HABITACIONAL VICENTE PIRES,11,1,98800.0,(61) 82670191,clinica_geral,0.39,0.6
0.6760,FLEURY ODONTOLOGIA,21.819.137/0001-42,ME,SETOR HABITACIONAL VICENTE PIRES - TRECHO 3,11,1,88000.0,(61) 81870936,clinica_geral,0.39,0.6
0.6760,LUMINI ODONTOLOGIA,24.755.556/0001-56,ME,AREAL (AGUAS CLARAS),10,1,88000.0,(61) 35478436,clinica_institucional,0.39,0.6
0.6760,MM ODONTOLOGIA ESPECIALIZADA,19.788.403/0001-75,ME,ASA NORTE,12,1,80000.0,(61) 99688269,clinica_institucional,0.39,0.6
0.6760,MASTER DENTE CENTRO ODONTOLOGICO,20.238.612/0001-24,ME,NORTE (AGUAS CLARAS),12,1,72400.0,(61) 33522288,clinica_institucional,0.39,0.6
0.6760,INSTITUTO CLAUDIA ALEXANDRE,16.820.384/0001-29,ME,ASA NORTE,14,1,62200.0,(61) 32738663,clinica_institucional,0.39,0.6
0.6760,ODONTO VITAE,22.618.918/0001-31,ME,AREAL (AGUAS CLARAS),11,1,50000.0,(61) 81180647,clinica_geral,0.39,0.6
0.6760,VANESSA GOUVEA ODONTOLOGIA ESPECIALIZADA E SAUDE INTEGRATIVA LTDA,09.332.554/0001-60,ME,ASA NORTE,20,1,10000.0,(61) 91167740,marca_pessoal,0.39,0.6
0.6760,DF ODONTOCLINICA,04.924.249/0001-44,ME,SETOR SUDOESTE,24,1,0.0,(61) 81228110,clinica_institucional,0.39,0.6
0.6760,ODONTO ARTE,07.013.928/0001-50,ME,ASA SUL,21,1,0.0,(61) 32268993,clinica_institucional,0.39,0.6
0.6755,ODONTO CENTER,05.975.334/0001-02,DEMAIS,SANTA MARIA,22,1,50000.0,(61) 33938875,clinica_geral,0.67,0.6
0.6755,CLINICA ODONTOLOGICA MAANAIM,05.003.860/0001-00,EPP,CEILANDIA NORTE (CEILANDIA),24,1,20000.0,(61) 33739537,clinica_geral,0.67,0.6
0.6755,PATRICIA ZAMBONATO ORTODONTIA PERSONALIZADA,04.924.568/0001-50,ME,OTOGONAL,24,1,30000.0,(61) 32349440,marca_pessoal,0.47,1.0
0.6750,CENTRO CLINICO DE ORTODONTIA E ENDODONTIA DE BSB LTDA,01.646.199/0001-92,ME,LAGO NORTE,41,1,2000.0,(61) 84123500,especialista_alto_ticket,0.3,1.0
0.6745,ELLO ODONTOLOGIA,11.349.793/0001-75,EPP,TAGUATINGA SUL (TAGUATINGA),16,1,50000.0,(61) 35637307,clinica_geral,0.68,0.35
0.6745,A S CASALEGNO & CIA,19.779.507/0001-13,DEMAIS,TAGUATINGA SUL,12,1,20000.0,(61) 32420192,clinica_geral,0.68,0.35
0.6745,ODONTO UNIDAS,14.425.620/0001-87,DEMAIS,TAGUATINGA CENTRO (TAGUATINGA),14,1,20000.0,(61) 35621240,clinica_geral,0.68,0.35
0.6745,FAT INSTITUTO,47.335.761/0001-68,DEMAIS,NORTE (AGUAS CLARAS),4,1,100000.0,(61) 33891214,clinica_institucional,0.63,0.6
0.6745,ART ORAL ODONTOLOGIA ESPECIALIZADA LTDA,58.973.095/0001-00,EPP,ASA NORTE,1,1,50000.0,(61) 82629820,clinica_institucional,0.63,0.6
0.6745,CDB CENTRO ORTODONTIA DE BRASILIA,45.431.868/0001-84,ME,ASA NORTE,4,1,200000.0,(61) 91672455,especialista_alto_ticket,0.43,1.0
0.6745,AURUS ODONTOLOGIA E ESTETICA,48.517.079/0001-59,ME,SUL (AGUAS CLARAS),3,1,50000.0,(61) 82875277,especialista_alto_ticket,0.43,1.0
0.6740,HARMONIE ORAL,09.654.362/0001-70,ME,ASA SUL,18,1,220000.0,(61) 32020408,clinica_geral,0.51,0.35
0.6740,FEDERAL ODONTO,09.385.146/0001-77,ME,ASA NORTE,18,1,50000.0,(61) 33260215,clinica_geral,0.51,0.35
0.6740,D LOUNGE,11.781.794/0001-94,ME,ASA NORTE,16,1,50000.0,(61) 35429936,clinica_geral,0.51,0.35
0.6740,CLINICA ODONTOLOGICA MARCIA SANTIAGO,06.307.595/0001-09,ME,ASA NORTE,22,2,10000.0,(61) 3264289,multi_unidade,0.41,0.6
0.6725,ODONTOGAMA,10.575.443/0001-64,ME,GAMA,17,1,120000.0,(61) 35610334,clinica_geral,0.55,0.6
0.6725,LG CLINICA ODONTOLOGICA LTDA,40.226.974/0001-02,EPP,ASA SUL,5,1,30000.0,(61) 99966178,clinica_geral,0.55,0.6
0.6725,CLINICA ODONTOLOGICA VILLANOVA LTDA,29.588.747/0001-94,EPP,ASA NORTE,8,1,10000.0,(61) 96841378,clinica_geral,0.55,0.6
0.6725,MORETI ATELIE FACIAL,34.319.191/0001-70,EPP,ASA SUL,7,1,10000.0,(61) 33456726,clinica_geral,0.55,0.6
0.6725,TRO ODONTOLOGIA E ESTETICA OROFACIAL,26.840.404/0001-87,ME,SETOR NOROESTE,9,1,25000.0,(61) 33682572,especialista_alto_ticket,0.35,1.0
0.6725,ODONTOIMPLANTE,20.176.314/0001-57,ME,TAGUATINGA,12,1,20000.0,(61) 91185259,especialista_alto_ticket,0.35,1.0
0.6725,ORTHO CLINICA BRASILIA,18.731.989/0001-79,ME,SETOR TRADICIONAL (PLANALTINA),13,1,20000.0,(61) 33272479,especialista_alto_ticket,0.35,1.0
0.6725,SUNRISE ODONTOLOGIA E ESTETICA,19.701.997/0001-35,ME,TAGUATINGA,12,1,20000.0,(61) 99348418,especialista_alto_ticket,0.35,1.0
0.6720,CEORTH - CLINICA ODONTOLOGICA,17.864.336/0001-03,ME,AGUAS CLARAS,13,1,20000.0,(61) 32221833,clinica_geral,0.38,0.6
0.6705,PERFIL FACE ODONTOLOGIA,29.667.438/0001-00,EPP,AREAL (AGUAS CLARAS),8,1,120000.0,(61) 33990333,clinica_geral,0.67,0.35
0.6705,ARTEMIS ODONTOLOGIA,42.782.148/0001-75,EPP,ASA SUL,5,1,110000.0,(61) 81199604,clinica_geral,0.67,0.35
0.6705,HUMBERTO ALVES ODONTOLOGIA,35.830.176/0001-55,EPP,ASA NORTE,6,1,100000.0,(61) 32021918,clinica_geral,0.67,0.35
0.6705,CLINICA ALMEIDA & VELOSO ODONTOLOGIA ESPECIALIZADA,45.880.533/0001-43,DEMAIS,SETOR SUDOESTE,4,1,20000.0,(61) 92717875,clinica_institucional,0.62,0.6
0.6695,ODONTOLOGIA INTEGRADA ALCANCAR,08.839.454/0001-62,EPP,RECANTO DAS EMAS,19,1,99800.0,(61) 33333332,clinica_geral,0.78,0.35
0.6690,ODONTOPLUS,13.839.483/0001-64,DEMAIS,ASA SUL,15,1,10000.0,(61) 30346911,clinica_geral,0.56,0.35
0.6685,VERTHO LENS,47.294.948/0001-60,EPP,NORTE (AGUAS CLARAS),4,1,100000.0,(61) 92212555,clinica_geral,0.74,0.35
0.6685,ESTILO CLINICA ODONTOLOGICA LTDA,28.065.264/0001-42,DEMAIS,ASA NORTE,9,1,30000.0,(61) 33477000,clinica_geral,0.54,0.6
0.6685,QUALIDENT CLINICA ODONTOLOGICA,14.949.798/0001-27,DEMAIS,TAGUATINGA,14,1,10000.0,(61) 30325588,clinica_geral,0.54,0.6
0.6680,FACE ODONTOLOGIA ESTETICA,36.987.223/0001-31,DEMAIS,SETOR DE HABITACOES INDIVIDUAIS SUL,6,1,50000.0,(61) 33478744,especialista_alto_ticket,0.62,1.0
0.6680,CLINICA VELASCO HOSKEN,09.454.670/0001-52,ME,ASA NORTE,18,1,40000.0,(61) 33159483,clinica_geral,0.37,0.6
0.6680,CLINICA ODONTOLOGICA VIA SUPREMA,10.237.596/0001-00,ME,ASA SUL,18,1,30000.0,(61) 92219856,clinica_geral,0.37,0.6
0.6680,PG TORRES ODONTOLOGIA & BEM ESTAR - INSTITUTO,04.895.051/0001-80,ME,AREA OCTOGONAL,24,1,30000.0,(61) 33522050,clinica_institucional,0.37,0.6
0.6680,IRS - INSTITUTO RENATA SALERNO,06.149.059/0001-22,ME,ASA SUL,22,1,24000.0,(61) 81276424,clinica_institucional,0.37,0.6
0.6680,PRO ORTWS,05.218.456/0001-46,ME,ASA SUL,24,1,23000.0,(61) 2245666,clinica_geral,0.37,0.6
0.6680,LUZ - ART & DENTE,09.456.683/0001-60,ME,ASA NORTE,18,1,20000.0,(61) 33814426,clinica_geral,0.37,0.6
0.6680,CLINICA ODONTOLOGICA DO LAGO - COL,11.739.852/0001-11,ME,LAGO SUL,16,1,20000.0,(61) 32026222,clinica_geral,0.37,0.6
0.6680,RENOVARE ODONTOLOGIA ESPECIALIZADA,06.118.090/0001-04,ME,ASA SUL,22,1,20000.0,(61) 39633555,clinica_institucional,0.37,0.6
0.6680,ODONTOS,08.599.958/0001-52,ME,AGUAS CLARAS,19,1,20000.0,(61) 34361214,clinica_geral,0.37,0.6
0.6670,SINGULARE ODONTOLOGIA,04.631.163/0001-23,ME,NORTE (AGUAS CLARAS),25,1,120000.0,(61) 33545347,clinica_institucional,0.48,0.6
0.6670,CLINICA SOI,03.070.473/0001-53,ME,ASA NORTE,27,1,100000.0,(61) 92231592,clinica_geral,0.48,0.6
0.6670,CLINICA ODONTOLOGICA PAULO DUTRA S/C LTDA,00.519.962/0001-51,DEMAIS,ASA SUL,31,1,0.0,(61) 33462664,clinica_geral,0.48,0.6
0.6670,CLINICA DE ORTODONTIA JOSILCE GASPERIN SS,01.381.059/0001-30,ME,ASA NORTE,30,1,0.0,(61) 33285855,especialista_alto_ticket,0.28,1.0
0.6665,FOX ODONTO,29.571.069/0001-57,DEMAIS,LAGO NORTE,8,1,100000.0,(61) 93754345,clinica_geral,0.66,0.35
