cnpj_basico,n_socios,n_administradores,socio_mais_antigo
41422485,2,1,2021-03-31
55226419,3,3,1997-05-31
59523410,1,0,2025-02-18
50396751,2,1,2023-04-20
47978616,1,0,2022-09-16
57465334,1,0,2024-09-27
63227986,1,0,2025-10-16
27011919,1,0,2016-12-06
59509870,1,0,2025-02-17
54925500,1,0,2024-04-29
48060223,1,0,2022-09-23
47894347,1,0,2022-09-09
51033810,1,0,2023-06-13
20607415,1,0,2013-12-04
27135741,1,0,2017-01-17
62082859,1,0,2025-08-05
05955204,1,0,2003-01-09
60627385,1,0,2025-04-30
03409100,2,1,2001-03-26
46819240,1,0,2022-06-17
02347022,6,1,1998-02-04
41420964,5,4,2021-03-31
25099040,1,0,2016-06-08
52264279,11,6,2023-09-21
24472734,3,3,2015-12-04
22554357,6,1,2015-03-20
54468949,1,0,2024-03-25
46777766,1,0,2022-06-14
33902814,1,0,2019-04-25
59508178,1,0,2025-02-17
16539471,3,3,2012-05-14
28363384,1,0,2017-07-17
21425674,1,0,2014-11-06
51795871,4,2,2023-08-14
58323880,1,0,2024-12-03
60440953,1,0,2025-04-16
50049528,1,0,2023-03-23
39563759,1,0,2020-10-26
44966693,1,0,2022-01-21
59224130,2,2,2025-01-31
63999204,1,0,2025-12-09
62671853,1,0,2025-09-11
60697666,1,0,2025-05-06
53556200,1,0,2024-01-18
57728705,1,0,2024-10-17
42072928,1,0,2021-05-25
59016407,1,0,2025-01-21
48050907,2,2,2022-09-22
43812334,1,0,2021-10-07
31204593,1,0,2018-06-05
48836127,1,0,2022-12-07
24373015,1,0,2016-03-04
19622716,2,1,2019-06-25
56935769,1,0,2024-08-20
60721316,1,0,2025-05-07
01142138,8,3,1998-08-13
23827831,1,0,2015-10-02
14139252,4,1,2011-07-13
07863524,7,2,2005-11-04
37231770,1,0,2020-05-26
50823529,1,0,2023-05-25
59677650,1,0,2025-02-26
62032499,1,0,2025-08-01
47838617,1,0,2022-09-05
57468643,1,0,2024-09-27
63555298,2,1,2025-11-06
49723665,1,0,2023-02-27
60410352,1,0,2025-04-15
53495127,1,0,2024-01-15
43814164,1,0,2021-10-07
52784064,1,0,2026-05-26
63052646,1,0,2025-10-06
33649059,1,0,2019-04-30
50425337,1,0,2023-04-24
14538518,2,1,2009-10-28
63650961,2,2,2025-11-13
31439344,1,0,2018-08-28
48304375,2,2,2022-10-17
41192788,1,0,2021-03-12
61157078,1,0,2025-06-04
26849875,2,1,2016-11-23
35178398,1,0,2019-10-14
30776233,1,0,2018-05-07
55658315,1,0,2024-06-24
49073635,1,0,2023-01-05
40140305,2,1,2020-12-17
42460308,1,0,2021-06-24
51796368,4,3,2023-08-14
29952845,1,0,2018-03-01
64170609,2,2,2025-12-17
41213683,1,0,2021-03-15
62589292,2,2,2025-09-05
25184741,1,0,2016-06-27
50278272,1,0,2023-04-11
02758567,7,1,1998-09-11
59212999,1,0,2025-01-31
62292341,2,2,2025-08-19
62501111,1,0,2025-09-01
63320892,1,0,2025-10-22
39979474,1,0,2020-12-01
31479228,1,0,2018-08-24
20743668,1,0,2014-06-12
56988248,2,0,2024-08-23
49946237,1,0,2023-03-15
37887604,1,0,2020-07-28
44924834,1,0,2022-01-19
37754291,1,0,2020-07-16
46257235,1,0,2019-09-16
54986762,1,0,2024-05-03
27314968,1,0,2017-03-08
27420799,1,0,2017-02-22
30517559,3,1,2018-05-02
26266820,1,0,2016-04-29
27446617,1,0,2017-03-28
18806649,1,0,2013-08-16
56886471,2,2,2024-08-16
57639354,1,0,2024-10-10
55656884,1,0,2024-06-24
02945589,2,2,1999-01-22
35694069,1,0,2019-12-03
27079163,1,0,2017-02-07
37236838,1,0,2020-05-26
54697523,1,0,2024-04-11
01791711,33,2,1997-04-23
62893296,1,0,2025-09-25
26710633,1,0,2017-09-04
53420894,3,2,2024-01-09
51982381,8,2,2023-08-28
63338964,1,0,2025-10-23
04438804,4,4,2000-12-15
60970640,1,0,2025-05-23
28578841,1,0,2017-07-31
47370679,1,0,2022-08-01
45056705,1,0,2022-01-28
26447615,2,2,1997-11-04
10517518,7,2,2008-11-05
36957775,3,3,2020-04-17
33337966,1,0,2019-04-08
49634659,1,0,2023-02-16
41080879,1,0,2021-03-03
49750849,1,0,2023-02-28
44697253,2,2,2021-12-29
62213760,1,0,2025-08-13
08769521,2,1,2021-02-19
11170523,1,0,2009-09-10
25212843,1,0,2016-06-27
37076656,2,1,2020-05-05
48536634,1,0,2022-11-07
52551316,2,2,2023-10-17
54714824,1,0,2024-04-12
12012379,1,0,2010-05-21
36313455,1,0,2020-02-10
52825060,1,0,2023-11-08
23299247,1,0,2015-07-10
53648930,1,0,2024-01-25
55499956,1,0,2024-06-12
42775978,1,0,2021-07-19
61352295,1,0,2025-06-17
30745071,1,0,2018-06-15
23881233,4,2,2015-11-26
18684095,4,2,2013-05-17
45226569,1,0,2022-02-09
41629557,4,1,2021-04-19
28691808,1,0,2017-08-31
52352491,1,0,2023-09-28
17466242,2,1,2006-12-18
50743381,2,1,2023-05-19
28659681,1,0,2017-08-22
42767908,1,0,2021-07-19
46564221,2,2,2022-08-30
49829222,1,0,2023-03-06
40897827,1,0,2021-02-18
52692907,1,0,2023-10-27
48834829,1,0,2022-12-07
36359838,1,0,2020-02-11
39238549,1,0,2020-09-29
28407231,1,0,2017-07-13
62860855,1,0,2025-09-23
22548405,2,2,2015-04-24
47115722,1,0,2022-07-12
63493689,1,0,2025-11-03
59330796,1,0,2025-02-06
20097999,1,0,2015-06-24
18310791,2,1,2013-05-17
25450144,1,0,2016-07-14
54994676,1,0,2024-05-03
52026954,1,0,2023-08-31
32071592,2,2,2018-11-14
34568379,2,2,2019-07-01
62989830,1,0,2025-10-01
40717973,1,0,2021-02-04
08612797,3,2,2007-01-11
51128703,1,0,2023-06-21
31204508,1,0,2018-05-04
28065964,1,0,2017-06-05
28354936,1,0,2017-07-04
34033155,1,0,2019-06-04
32252677,5,2,2018-11-26
14803098,2,1,2011-12-13
10492490,5,2,2008-10-06
22997306,2,1,2015-06-12
58095930,1,0,2024-11-13
28036833,1,0,2017-06-21
56936737,2,2,2024-08-20
17277115,3,1,2012-11-21
49834552,1,0,2023-03-07
23118957,2,2,2014-11-06
46661762,1,0,2022-06-03
34987519,2,2,2019-09-24
52217787,2,2,2023-09-18
27879016,1,0,2017-05-17
36225797,1,0,2020-02-03
45024901,1,0,2022-01-26
27923157,2,2,2017-05-26
57570205,1,0,2024-10-04
60171756,1,0,2025-03-31
43608813,1,0,2021-09-22
57036681,1,0,2024-08-27
35048528,1,0,2019-09-16
42419417,1,0,2021-06-22
49636643,1,0,2023-02-16
34693292,1,0,2019-08-14
00932338,2,2,1995-10-03
62698615,1,0,2025-09-12
61884829,1,0,2025-07-23
05965396,2,1,2003-10-07
54712933,1,0,2024-04-12
42728452,1,0,2021-07-15
54006982,1,0,2024-02-21
40364483,2,2,2021-01-12
36360045,1,0,2020-02-11
12842064,33,2,2010-10-26
55220462,1,0,2024-05-21
35810592,4,1,2019-12-16
60372318,1,0,2025-04-11
33388481,1,0,2019-04-08
58503717,1,0,2024-12-18
32083227,1,0,2018-11-14
59544391,1,0,2025-02-19
47908984,2,2,2022-09-12
52868525,1,0,2023-11-13
46743674,1,0,2022-06-10
10555908,3,3,2008-12-15
53010475,2,2,2023-11-27
43985155,2,1,2021-10-22
30479045,2,1,2018-03-01
48766160,1,0,2022-11-30
49020116,1,0,2023-01-02
10624869,1,0,2011-09-22
25263611,2,2,2016-06-14
59211963,1,0,2025-01-31
62872682,1,0,2025-09-24
63994366,1,0,2025-12-09
24901364,1,0,2016-05-31
07599549,2,1,2005-08-24
54812195,1,0,2024-04-19
64278093,1,0,2025-12-22
63895392,1,0,2025-12-01
56658385,1,0,2024-08-13
53095290,4,3,2023-12-04
30305371,1,0,2018-04-20
48104877,1,0,2022-09-27
29147651,1,0,2017-11-08
55692191,1,0,2024-06-26
57259779,1,0,2024-09-12
34905371,1,0,2019-08-19
41149358,1,0,2021-03-09
51379144,1,0,2023-07-11
51893690,1,0,2023-08-21
24901513,1,0,2016-02-26
50150472,1,0,2023-03-30
50550641,1,0,2023-05-04
30915838,1,0,2018-06-15
44464648,1,0,2021-12-02
62141194,1,0,2025-08-08
62279763,1,0,2025-08-18
63742833,1,0,2025-11-19
63026088,1,0,2025-10-03
27685343,1,0,2017-01-27
51182163,1,0,2023-06-26
35558216,1,0,2019-11-13
57567009,2,1,2024-10-04
47760476,1,0,2022-08-29
10969479,6,1,2009-06-23
58196810,1,0,2024-11-22
26304351,3,1,2016-09-09
13418532,2,2,2010-12-02
33396996,4,2,2019-03-29
63209580,1,0,2025-10-15
60126142,1,0,2025-03-27
63985495,1,0,2025-12-09
48952985,1,0,2022-12-21
44225991,1,0,2021-11-12
42838692,1,0,2021-07-23
29067209,1,0,2017-10-23
57354366,1,0,2024-09-19
60398606,1,0,2025-04-14
00058194,1,0,1994-05-04
63437133,1,0,2025-10-30
55891745,1,0,2024-07-11
63201077,1,0,2025-10-15
44705068,1,0,2021-12-30
20390655,1,0,2014-04-11
54756169,1,0,2024-04-16
53654767,1,0,2024-01-25
63534426,1,0,2025-11-05
06655029,1,0,2000-01-04
56936394,1,0,2024-08-20
55598606,1,0,2024-06-19
57881212,1,0,2024-10-29
59472271,1,0,2025-02-14
46996076,1,0,2022-07-01
59985313,1,0,2025-03-19
52087985,1,0,2023-09-05
39979344,1,0,2020-12-01
16848720,1,0,2012-08-16
38488574,1,0,2020-09-16
38074677,2,1,2020-08-13
00496653,3,1,1993-04-07
48823327,1,0,2022-12-06
62137057,1,0,2025-08-08
02094129,2,1,1997-09-11
08605830,2,1,2006-11-09
63637975,2,0,2025-11-12
10835012,4,2,2006-04-27
62075344,2,1,2025-08-05
55550242,1,0,2024-06-17
47760203,1,0,2022-08-29
18544996,1,0,2013-06-06
49746454,1,0,2023-02-28
25301731,3,1,2016-07-14
52999154,1,0,2023-11-24
52999119,1,0,2023-11-24
55720210,1,0,2024-06-28
46202505,3,2,2022-04-29
56934315,1,0,2024-08-20
44967668,1,0,2022-01-21
58503267,1,0,2024-12-18
55654485,1,0,2024-06-24
50805302,1,0,2023-05-24
30745011,3,3,2018-06-18
36758785,1,0,2020-03-24
60829697,2,1,2025-05-14
28273629,1,0,2017-07-13
23633459,3,1,2015-10-02
52788763,1,0,2023-11-06
04757351,5,1,2001-10-25
36395984,1,0,2020-02-14
60441468,2,2,2025-04-16
42748754,1,0,2021-07-16
60251612,1,0,2025-04-04
55973219,1,0,2024-07-17
57307130,1,0,2025-10-08
50168674,1,0,2023-03-31
11250914,1,0,2009-04-22
50091465,1,0,2023-03-27
28120763,1,0,2017-06-28
49326676,1,0,2023-01-25
35004953,1,0,2019-09-23
35789973,26,1,1989-08-21
03011963,2,1,1999-02-22
02665120,2,2,2001-04-10
62139788,1,0,2025-08-08
35700114,3,1,2026-02-24
30686366,1,0,2018-05-28
52029976,1,0,2023-08-31
42078629,3,1,2021-05-25
61448384,2,1,2025-06-25
52605015,1,0,2023-10-20
34574414,2,1,2019-08-05
31081575,1,0,2018-06-15
51553209,1,0,2023-07-25
63185644,1,0,2025-10-14
25163952,2,2,2016-06-08
23639548,1,0,2015-10-30
58212379,2,2,2024-11-25
39943181,1,0,2020-11-27
34786530,1,0,2019-09-05
60757202,1,0,2025-05-09
43585682,1,0,2021-09-20
30004472,1,0,2017-11-08
47945665,1,0,2022-09-14
14053322,1,0,2011-06-30
57283659,1,0,2024-09-13
57914577,1,0,2024-10-31
27477168,1,0,2017-03-28
54950866,1,0,2024-04-30
51854243,1,0,2023-08-17
63859347,1,0,2025-11-28
47372854,1,0,2022-08-01
49634383,1,0,2023-02-16
55137141,2,2,2024-05-15
41271298,2,0,2021-03-18
14133829,18,18,2011-06-01
39315964,1,0,2020-10-05
59115135,1,0,2025-01-27
34524235,1,0,2019-08-09
52561467,2,2,2023-10-17
52197034,1,0,2023-09-15
52150374,2,1,2023-09-12
62122038,1,0,2025-08-07
55266098,2,2,2024-05-24
50277753,1,0,2023-04-11
30686319,1,0,2018-06-06
43083934,1,0,2021-08-11
16568709,1,0,2012-07-10
53171594,3,1,2023-12-12
33389623,1,0,2019-02-22
45324499,1,0,2022-02-16
49984787,2,1,2023-03-17
54813059,1,0,2024-04-19
61666407,1,0,2025-07-09
51421974,1,0,2023-07-14
60807964,1,0,2025-05-13
55720606,1,0,2024-06-28
62113619,1,0,2025-08-07
52997339,1,0,2023-11-24
22791785,1,0,2015-06-26
43722451,1,0,2021-09-30
57517798,2,1,2024-10-01
62836092,1,0,2025-09-22
42519055,1,0,2021-06-29
59536215,1,0,2025-02-18
60917241,1,0,2025-05-20
58149171,2,0,2024-11-19
41811236,1,0,2021-05-04
61885122,1,0,2025-07-23
26718109,1,0,2016-11-04
24782988,1,0,2016-05-04
38305117,1,0,2020-09-01
10890129,9,1,2009-04-09
52030953,1,0,2023-08-31
59696116,1,0,2025-02-27
08829091,3,1,2007-04-13
50052814,1,0,2023-03-23
22807826,2,1,2015-06-26
61001156,1,0,2025-05-26
47894728,2,1,2022-09-09
55254151,1,0,2024-05-23
63630708,1,0,2025-11-12
48835910,2,1,2022-12-07
22351064,2,2,2015-01-08
37852421,1,0,2020-07-24
11377018,2,1,2009-11-20
63840140,3,3,2025-11-27
57391734,1,0,2024-09-23
18123153,2,1,2013-03-12
